Vote,Date,VoteNumber,VoteTitle,ResultFor,ResultAgainst,ResultAbstention
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/71,2019-01-16,71,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 86S,75,585,17
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/72,2019-01-16,72,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 87S,104,559,9
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/73,2019-01-16,73,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 88S,67,574,39
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/74,2019-01-16,74,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 127,142,322,218
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/75,2019-01-16,75,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 129,114,470,95
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/76,2019-01-16,76,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 149,113,349,210
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/77,2019-01-16,77,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 89,74,598,11
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/78,2019-01-16,78,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 150,148,341,185
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/79,2019-01-16,79,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 90,79,576,23
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/80,2019-01-16,80,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 113,130,348,194
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/81,2019-01-16,81,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 91S,81,573,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/82,2019-01-16,82,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 130,115,548,15
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/83,2019-01-16,83,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 92/1,146,517,14
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/84,2019-01-16,84,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 92/2,156,342,176
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/85,2019-01-16,85,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 131,154,316,211
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/86,2019-01-16,86,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 132,120,347,214
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/87,2019-01-16,87,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 93,77,400,203
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/88,2019-01-16,88,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 94,52,587,37
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/89,2019-01-16,89,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 95,96,582,2
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/90,2019-01-16,90,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 96S,118,552,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/91,2019-01-16,91,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 97,81,563,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/92,2019-01-16,92,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 98,69,591,15
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/93,2019-01-16,93,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 99,87,578,8
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/94,2019-01-16,94,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 100S,89,409,183
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/95,2019-01-16,95,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 101S,89,404,177
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/96,2019-01-16,96,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 102,94,574,11
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/97,2019-01-16,97,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 11S,68,585,24
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/98,2019-01-16,98,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 15S,72,547,52
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/99,2019-01-16,99,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 28,76,402,199
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/100,2019-01-16,100,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 32,66,387,225
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/101,2019-01-16,101,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 33,86,389,196
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/102,2019-01-16,102,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 34,82,396,197
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/103,2019-01-16,103,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 35,69,407,204
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/104,2019-01-16,104,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 36S,93,569,13
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/105,2019-01-16,105,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 37S,65,568,40
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/106,2019-01-16,106,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 136,125,468,83
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/107,2019-01-16,107,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 119,109,326,239
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/108,2019-01-16,108,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 38,54,397,221
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/109,2019-01-16,109,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 39S,47,582,46
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/110,2019-01-16,110,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 108,152,279,247
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/111,2019-01-16,111,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 109,119,462,91
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/112,2019-01-16,112,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 51,75,381,220
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/113,2019-01-16,113,A8-0475/2018 -  Norbert Lins et  Bart Staes - Considérant CH/1,596,67,11
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/114,2019-01-16,114,A8-0475/2018 -  Norbert Lins et  Bart Staes - Considérant CH/2,415,234,25
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/115,2019-01-16,115,A8-0475/2018 -  Norbert Lins et  Bart Staes - Considérant CH/3,649,23,3
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/116,2019-01-16,116,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 52S,66,585,26
