?committee	?targetTranslationLanguage	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/ELL>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/EST>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/HRV>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/HUN>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/POL>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/SLK>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/SLV>	28.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/SWE>	28.2
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/GLE>	28.0
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/LAV>	28.0
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/SPA>	28.0
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/LIT>	28.0
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/POR>	27.8
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/NLD>	27.714285714285714285714286
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/FIN>	27.6
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/FRA>	27.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/MLT>	27.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/FRA>	27.5
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/BUL>	27.4
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/RON>	27.4
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/SPA>	27.2
